release_year,sentiment
2016,Mostly Positive
2015,Mixed
2016,Positive
2016,Very Positive
2016,Positive
2016,Very Positive
2016,Positive
2016,Very Positive
2016,Very Positive
2017,Mixed
2016,Mixed
2016,Very Positive
2016,Positive
2016,Mixed
2016,Mixed
2016,Very Positive
2016,Mostly Negative
2016,Very Positive
2015,Positive
1993,Positive
2016,Positive
2013,Positive
2013,Positive
2013,Positive
1994,Positive
1987,Positive
2016,Positive
2016,Very Positive
2016,Negative
2016,Mixed
2016,Mostly Positive
2016,Mostly Positive
2016,Mostly Negative
2016,Mostly Negative
2016,Very Positive
2016,Positive
2016,Mostly Positive
2016,Positive
2016,Very Positive
9999,Very Positive
2016,Mixed
2016,Mixed
2016,Positive
9999,Mixed
2016,Very Positive
2016,Mostly Positive
2016,Mixed
2016,Very Positive
2016,Positive
2016,Positive
9999,Mixed
2016,Very Positive
2016,Positive
2016,Positive
2016,Positive
2016,Mixed
2016,Mixed
2016,Mostly Positive
2016,Overwhelmingly Positive
2016,Positive
2016,Very Positive
2016,Positive
2016,Positive
2008,Mixed
2016,Mixed
2016,Mixed
2016,Positive
2016,Mostly Negative
2016,Mixed
9999,Mostly Positive
2016,Very Positive
2016,Mixed
2016,Very Positive
2016,Positive
2016,Mixed
2016,Mixed
2016,Positive
2016,Mostly Negative
9999,Mostly Positive
2016,Mostly Positive
2016,Mixed
2016,Mostly Negative
2016,Mostly Positive
2016,Mostly Negative
2016,Mostly Positive
2016,Mixed
2016,Mostly Positive
9999,Very Positive
2016,Mixed
2016,Mixed
2016,Positive
2016,Positive
2016,Mostly Positive
2016,Very Positive
2016,Negative
2011,Positive
2016,Positive
2016,Mixed
2016,Mostly Negative
2016,Mostly Positive
2016,Mixed
2016,Positive
9999,Mixed
2016,Positive
2016,Very Positive
2016,Mostly Positive
2016,Positive
9999,Mixed
2016,Very Positive
9999,Very Positive
2016,Mixed
2016,Mixed
2016,Positive
2016,Mixed
2016,Positive
2016,Mostly Positive
2016,Mixed
2016,Very Positive
9999,Positive
2016,Very Positive
9999,Mostly Positive
2016,Very Positive
2016,Very Positive
2016,Mostly Negative
2016,Mostly Positive
2016,Very Positive
2016,Mixed
2016,Mixed
2016,Mostly Positive
2016,Mostly Positive
2016,Very Positive
2015,Mixed
2016,Very Positive
2016,Very Positive
9999,Mixed
2016,Very Positive
2016,Positive
2016,Very Positive
2016,Positive
2016,Positive
2016,Very Positive
2016,Very Positive
2016,Mostly Negative
2016,Very Positive
2016,Mixed
2016,Mixed
2016,Mixed
2016,Mixed
2016,Very Positive
9999,Mostly Positive
2013,Positive
2016,Very Positive
2014,Mixed
2016,Positive
2016,Mostly Positive
2016,Mostly Negative
2016,Very Positive
2016,Mostly Positive
2016,Mixed
2016,Very Positive
2016,Very Positive
2016,Mixed
2016,Mixed
2016,Mixed
2016,Positive
2009,Mixed
2016,Very Positive
2016,Very Positive
9999,Mixed
2016,Mostly Positive
2016,Positive
2016,Very Positive
2016,Mostly Positive
2016,Mostly Negative
2016,Positive
9999,Mostly Negative
2016,Mixed
2016,Mixed
2016,Positive
2016,Mostly Positive
2016,Mixed
2016,Mixed
2016,Mostly Negative
2016,Positive
9999,Very Positive
2016,Mostly Positive
2016,Very Positive
2016,Mixed
2016,Mixed
2016,Mixed
2016,Mixed
2016,Mostly Positive
2016,Positive
2016,Mixed
2015,Mixed
2016,Positive
2016,Mixed
2016,Positive
2016,Mixed
2016,Mixed
2016,Positive
2016,Positive
2016,Very Positive
2016,Mostly Positive
2016,Positive
1999,Positive
2016,Very Positive
2016,Mixed
2016,Mostly Positive
2016,Very Positive
2016,Mostly Positive
2016,Positive
2016,Mixed
2016,Positive
2016,Mixed
2016,Mostly Positive
2016,Mixed
2016,Positive
2016,Mixed
2016,Mixed
2016,Mostly Positive
2016,Mostly Positive
2016,Positive
2016,Very Positive
2016,Positive
2016,Mixed
2016,Mostly Positive
2016,Very Positive
2016,Mostly Positive
2016,Very Positive
2016,Mostly Positive
2016,Very Positive
9999,Very Positive
2016,Mostly Negative
2016,Mostly Positive
2016,Mostly Positive
2016,Mixed
2016,Mostly Positive
2016,Positive
2016,Mixed
2016,Positive
9999,Mixed
2016,Positive
9999,Positive
2016,Mostly Positive
2016,Very Positive
2012,Mostly Positive
2012,Positive
2016,Very Positive
9999,Very Positive
2016,Mostly Negative
2016,Mixed
2016,Mixed
2016,Mixed
2016,Very Positive
2016,Very Positive
2016,Positive
2015,Mixed
2016,Mixed
2012,Mixed
2016,Mixed
2016,Positive
2016,Mostly Negative
2016,Mostly Positive
2016,Mostly Positive
2016,Mostly Positive
2016,Mixed
2016,Very Positive
2016,Positive
2016,Mostly Positive
2016,Positive
2016,Mixed
2016,Mixed
2010,Mixed
2016,Mostly Positive
2016,Mixed
2016,Positive
2016,Very Positive
2016,Mostly Positive
9999,Mixed
2016,Mixed
2016,Mixed
2016,Mostly Positive
2016,Very Positive
2016,Mostly Positive
2016,Mostly Positive
2007,Mostly Negative
2014,Positive
9999,Positive
2012,Mixed
2016,Mostly Negative
2016,Mostly Positive
2016,Mostly Negative
2016,Mostly Positive
2016,Very Positive
2016,Mixed
2016,Mostly Negative
2016,Positive
2016,Mostly Positive
2016,Negative
2016,Mostly Positive
2016,Very Positive
2016,Positive
9999,Mostly Negative
2016,Mixed
2016,Positive
2013,Positive
2016,Mostly Positive
2016,Negative
2016,Positive
2016,Positive
2016,Mostly Positive
2016,Mixed
9999,Very Positive
2016,Very Positive
2016,Mixed
2016,Mostly Positive
2016,Positive
2016,Mixed
9999,Very Positive
2016,Very Positive
2016,Mixed
2016,Mixed
2016,Mixed
2016,Very Positive
2015,Positive
9999,Positive
2016,Very Positive
2016,Mixed
9999,Positive
2016,Mixed
9999,Mostly Negative
2016,Mostly Positive
2016,Very Positive
2016,Mixed
2016,Overwhelmingly Positive
9999,Positive
2016,Very Positive
9999,Mixed
2016,Positive
2016,Very Positive
2011,Mostly Positive
9999,Mixed
2016,Very Positive
2016,Positive
2016,Very Positive
2008,Mixed
2016,Mixed
2016,Mostly Negative
2016,Mixed
2016,Very Positive
2016,Mixed
2016,Positive
2016,Mixed
2016,Very Positive
2016,Mixed
2016,Very Positive
2016,Very Positive
2016,Positive
2016,Very Positive
2015,Positive
2016,Mostly Positive
2016,Very Positive
2016,Very Positive
2016,Very Positive
2016,Very Positive
2016,Mixed
2016,Overwhelmingly Positive
2016,Mostly Positive
2016,Mixed
2016,Very Positive
2016,Mostly Negative
2016,Positive
2016,Mixed
2016,Mostly Negative
2016,Positive
2016,Positive
2016,Negative
2016,Mixed
9999,Mostly Positive
2016,Mixed
2016,Mostly Negative
2016,Positive
2016,Very Negative
2016,Very Positive
2016,Mostly Positive
9999,Very Positive
2016,Positive
2016,Very Positive
2016,Positive
2016,Positive
2016,Positive
2016,Mostly Positive
2016,Mixed
2016,Mixed
9999,Very Positive
2016,Overwhelmingly Positive
2015,Very Positive
2015,Very Positive
2015,Very Positive
2015,Very Positive
2016,Positive
2016,Overwhelmingly Positive
2016,Mixed
9999,Mostly Positive
2016,Mostly Positive
9999,Very Positive
2016,Positive
2016,Mixed
2016,Positive
2016,Mixed
2016,Very Positive
2016,Mostly Positive
2016,Mixed
2016,Mostly Positive
2016,Mixed
2016,Mixed
9999,Positive
9999,Mixed
9999,Mixed
2016,Mostly Positive
2016,Mixed
2016,Very Positive
2016,Positive
2016,Very Positive
2016,Positive
2016,Mixed
2016,Mixed
2016,Positive
2016,Mostly Negative
2016,Mostly Positive
2016,Mixed
2016,Very Positive
9999,Mixed
2016,Overwhelmingly Positive
2016,Positive
2016,Mixed
2016,Mostly Negative
2016,Mostly Positive
9999,Mixed
2016,Very Positive
2016,Mostly Positive
2016,Mixed
2016,Very Positive
9999,Mixed
2016,Very Positive
2016,Mixed
2016,Mostly Positive
2016,Very Positive
2016,Mostly Negative
2016,Overwhelmingly Positive
2016,Very Positive
2016,Mixed
2016,Mixed
2016,Positive
2016,Positive
2016,Mostly Positive
2016,Mixed
2016,Mostly Positive
9999,Mixed
2016,Mixed
9999,Mixed
2016,Very Positive
2016,Positive
2016,Mostly Positive
2016,Positive
2016,Very Positive
2016,Positive
2016,Mostly Positive
2016,Positive
2016,Very Positive
2016,Positive
2016,Mostly Positive
2016,Mixed
2016,Positive
2016,Mixed
2016,Very Positive
9999,Positive
2016,Very Positive
2016,Very Positive
2016,Positive
9999,Mixed
2016,Mostly Positive
2016,Positive
2016,Mostly Positive
2016,Mixed
2016,Mixed
9999,Mixed
2016,Mostly Positive
2016,Very Positive
2016,Positive
2016,Very Positive
9999,Positive
2016,Mixed
2016,Mixed
2016,Very Positive
9999,Positive
2016,Very Positive
2016,Mixed
2016,Mostly Positive
2016,Mostly Negative
2016,Positive
2016,Mixed
2016,Mostly Negative
2016,Very Positive
2016,Very Positive
2016,Mostly Positive
9999,Mixed
2016,Mixed
2016,Mixed
9999,Mixed
2016,Mixed
2016,Very Positive
2016,Very Positive
9999,Positive
2016,Mixed
2016,Mixed
2016,Very Positive
2016,Very Positive
2016,Positive
2016,Mostly Positive
2016,Mixed
2016,Very Positive
9999,Mixed
2016,Very Positive
2016,Very Positive
2016,Positive
2016,Very Positive
2016,Very Positive
2016,Mixed
2016,Mostly Positive
9999,Positive
2016,Very Positive
2016,Mixed
2016,Mostly Positive
2016,Mixed
2016,Mixed
2016,Very Positive
9999,Positive
2016,Mixed
9999,Mostly Positive
2016,Very Positive
2016,Negative
2016,Mostly Positive
9999,Very Positive
2016,Mostly Positive
2016,Very Positive
2016,Mostly Positive
2016,Mixed
2016,Positive
2016,Mostly Positive
2016,Very Positive
2016,Mostly Positive
2016,Positive
2016,Mostly Positive
2016,Mixed
9999,Very Positive
2016,Mixed
9999,Mostly Positive
2016,Mixed
2016,Positive
2016,Mixed
9999,Very Positive
2016,Very Positive
2016,Very Positive
2016,Positive
2016,Mixed
2016,Mixed
2016,Overwhelmingly Positive
2016,Mostly Positive
2016,Mostly Positive
2016,Mostly Negative
2016,Mostly Positive
2016,Mixed
2016,Mixed
2016,Mixed
2016,Mostly Negative
9999,Very Positive
2016,Positive
2016,Mixed
2016,Very Positive
2016,Very Positive
2016,Very Positive
2016,Positive
9999,Positive
2016,Mostly Negative
9999,Positive
2016,Very Positive
2016,Very Positive
2015,Positive
9999,Mixed
2016,Positive
2016,Positive
2016,Positive
2016,Mixed
2016,Very Positive
2016,Mixed
9999,Positive
2016,Mostly Positive
2016,Mixed
9999,Mixed
2016,Mixed
2016,Mixed
2016,Very Positive
2016,Mixed
2016,Positive
2016,Positive
2016,Very Positive
2017,Mostly Positive
2016,Mostly Positive
2011,Mixed
2012,Negative
2016,Mostly Positive
2016,Mixed
2016,Mixed
2003,Positive
2016,Very Positive
2016,Mostly Positive
2016,Positive
2016,Mixed
2016,Positive
2016,Mostly Positive
2012,Mixed
9999,Positive
1999,Mixed
2006,Mixed
1996,Mostly Positive
1987,Mostly Positive
1995,Mostly Positive
1995,Positive
1993,Positive
1989,Very Positive
1999,Very Positive
2016,Positive
2016,Positive
2016,Very Positive
2016,Very Positive
2016,Mixed
2016,Very Positive
2016,Positive
2016,Very Positive
2016,Negative
2016,Very Positive
9999,Positive
2016,Very Positive
2016,Very Positive
2016,Positive
2016,Very Positive
2016,Mixed
2016,Mixed
2016,Mixed
2016,Mostly Positive
9999,Positive
2016,Positive
2016,Mixed
9999,Mostly Positive
9999,Positive
2016,Mixed
2016,Mixed
2016,Mixed
2016,Very Positive
9999,Mixed
2016,Mixed
9999,Positive
2014,Mostly Positive
2016,Mixed
2016,Positive
2016,Mostly Positive
2016,Positive
9999,Positive
2016,Very Positive
2016,Positive
2016,Mixed
2016,Mixed
9999,Very Positive
2016,Positive
2016,Very Positive
2016,Mostly Positive
2016,Mixed
2016,Very Positive
2016,Very Positive
2016,Positive
9999,Very Positive
2016,Positive
2016,Mixed
2016,Positive
2016,Positive
2016,Very Positive
2009,Very Positive
2016,Positive
2016,Mostly Positive
2016,Very Positive
2016,Mixed
2016,Mixed
2016,Positive
2016,Very Positive
2016,Very Positive
2016,Mostly Negative
2016,Very Positive
2016,Mixed
2016,Mixed
2016,Mostly Positive
1989,Positive
2016,Very Positive
2016,Positive
2016,Mostly Positive
2016,Very Positive
2016,Mixed
2016,Very Positive
2016,Mostly Positive
2016,Mostly Positive
2016,Mixed
2011,Positive
9999,Positive
2016,Very Positive
2016,Mixed
2016,Mostly Positive
2016,Positive
2016,Positive
2016,Mostly Negative
2016,Very Positive
2016,Very Positive
2016,Very Positive
2016,Positive
2016,Mixed
2016,Very Positive
2016,Mixed
2016,Mixed
2016,Mixed
9999,Mixed
2016,Mostly Positive
2016,Mostly Positive
2016,Very Positive
2016,Mixed
2016,Very Positive
2016,Mostly Positive
2016,Positive
2016,Positive
2016,Very Positive
9999,Mostly Positive
2016,Mixed
2016,Positive
2016,Mostly Negative
2016,Mixed
2016,Mixed
9999,Mixed
2016,Mixed
2016,Mixed
2016,Mixed
2016,Positive
2016,Mostly Positive
2016,Mixed
2016,Very Positive
9999,Mixed
2016,Positive
2016,Mostly Positive
9999,Mostly Positive
2016,Mostly Positive
2016,Positive
2016,Positive
2016,Positive
2016,Very Positive
2016,Very Positive
2016,Positive
2016,Mixed
2016,Mixed
2016,Positive
9999,Mixed
2016,Mostly Positive
2016,Very Positive
2016,Positive
2016,Mixed
2016,Very Positive
9999,Very Positive
2016,Positive
2016,Positive
2016,Mostly Positive
2016,Mixed
2016,Positive
2016,Mixed
2016,Very Positive
2016,Negative
2016,Positive
2016,Mixed
2016,Mixed
9999,Very Positive
2016,Mixed
2016,Positive
2016,Mostly Positive
2016,Positive
2016,Mixed
2016,Positive
2016,Positive
2016,Mostly Positive
2016,Mixed
2016,Mostly Negative
2016,Negative
2016,Very Positive
2016,Positive
2016,Mostly Positive
2016,Mostly Positive
2016,Mostly Negative
2016,Very Positive
2016,Very Positive
2016,Very Positive
2016,Very Positive
2016,Very Positive
2016,Very Positive
2016,Mostly Positive
9999,Positive
2016,Mostly Positive
2016,Mixed
2016,Mixed
2016,Mixed
2016,Very Positive
2016,Mixed
9999,Very Positive
2016,Very Positive
2016,Mostly Positive
2016,Positive
2016,Mostly Positive
2016,Mixed
9999,Positive
2016,Mixed
2016,Very Positive
2016,Very Positive
2009,Mixed
9999,Positive
2016,Mixed
2016,Mixed
2016,Mostly Positive
2016,Positive
2016,Mostly Positive
2016,Mixed
9999,Positive
2016,Mostly Negative
2016,Mixed
2016,Positive
2016,Positive
2016,Mixed
2016,Overwhelmingly Positive
2016,Very Positive
2016,Very Positive
2016,Mixed
2016,Positive
9999,Positive
2016,Mixed
2016,Positive
9999,Positive
2016,Very Positive
2016,Mixed
2016,Mixed
2016,Mostly Positive
2016,Mostly Negative
2016,Positive
2016,Mostly Positive
9999,Mixed
2016,Mostly Negative
2016,Mixed
2016,Mostly Negative
2016,Very Positive
2016,Mixed
2016,Mostly Negative
2016,Very Positive
9999,Mixed
2016,Mostly Positive
2016,Very Positive
2016,Very Positive
2016,Mixed
2016,Mostly Positive
2016,Mixed
2016,Positive
2016,Mixed
2016,Mixed
2016,Very Positive
2016,Mixed
2016,Very Positive
2016,Very Positive
2016,Positive
2017,Positive
2016,Positive
2016,Mostly Positive
9999,Mixed
2016,Mostly Positive
2016,Positive
2016,Very Positive
2016,Mostly Positive
1998,Positive
9999,Mostly Positive
9999,Positive
2016,Mixed
2016,Positive
2016,Mixed
2016,Very Positive
2016,Mostly Positive
2016,Mixed
2016,Mostly Positive
2016,Mixed
2016,Positive
2016,Positive
2016,Mostly Positive
2016,Very Positive
2016,Mostly Positive
2016,Positive
2006,Positive
9999,Mixed
2016,Positive
2016,Mixed
2016,Positive
2016,Positive
2016,Mostly Positive
2016,Positive
2016,Very Positive
2016,Mixed
2016,Very Positive
2016,Mixed
9999,Positive
9999,Mostly Positive
9999,Positive
2016,Very Positive
2016,Mixed
9999,Positive
9999,Mostly Negative
2016,Mixed
2016,Mixed
2016,Mostly Positive
2016,Mixed
2016,Mixed
2016,Mixed
9999,Positive
2016,Mostly Positive
9999,Mostly Positive
9999,Mixed
9999,Very Positive
2016,Very Positive
2016,Mixed
2016,Mostly Positive
2016,Mixed
9999,Mostly Positive
2016,Mostly Positive
9999,Mostly Positive
2016,Very Positive
2016,Mixed
2016,Mixed
2016,Very Positive
2016,Very Positive
2016,Mixed
9999,Mixed
2016,Very Positive
2016,Mixed
2016,Mixed
2016,Mostly Negative
2016,Positive
2016,Positive
9999,Positive
2016,Very Positive
2016,Mostly Positive
2016,Mostly Positive
2016,Positive
2016,Mostly Positive
2016,Mixed
2016,Very Positive
2016,Mixed
2016,Very Positive
2016,Mixed
2016,Very Positive
2016,Positive
9999,Mixed
9999,Positive
2016,Very Positive
2016,Mixed
9999,Mostly Positive
9999,Very Positive
9999,Mixed
2016,Positive
2016,Mostly Positive
2016,Very Positive
2016,Very Positive
2016,Positive
2016,Very Positive
2016,Positive
2016,Positive
2016,Mostly Positive
9999,Mostly Positive
2016,Positive
2016,Positive
9999,Mostly Negative
2016,Mixed
2016,Very Positive
2016,Very Positive
2016,Mixed
2016,Very Positive
2016,Mixed
2016,Very Positive
2016,Very Positive
2016,Mostly Negative
2016,Positive
2016,Mixed
2016,Mixed
2016,Mostly Positive
2016,Mixed
2016,Mixed
2016,Mostly Negative
2016,Very Positive
9999,Positive
9999,Positive
2016,Very Positive
9999,Mostly Positive
2016,Mostly Negative
2016,Mostly Negative
9999,Mixed
2016,Very Positive
2016,Very Positive
2016,Mostly Positive
2016,Very Negative
9999,Mostly Positive
2016,Positive
2016,Positive
2016,Mixed
2016,Mixed
2016,Mostly Positive
2016,Positive
9999,Very Positive
9999,Positive
2016,Mixed
2016,Positive
2016,Very Positive
2016,Positive
9999,Very Positive
2016,Positive
2016,Mostly Positive
2016,Very Positive
2016,Very Positive
2016,Mixed
2016,Mixed
2017,Mostly Negative
2016,Mixed
2016,Mostly Positive
2016,Mixed
9999,Mostly Positive
9999,Mostly Negative
9999,Positive
2016,Very Positive
2016,Mixed
2016,Mixed
2016,Positive
2016,Mixed
2016,Positive
2016,Very Positive
2016,Mostly Positive
2014,Mixed
2016,Positive
2016,Mostly Positive
2016,Positive
2016,Very Positive
9999,Mixed
2016,Positive
2016,Mixed
2016,Mixed
2016,Mixed
2016,Positive
2016,Mixed
2016,Very Positive
2016,Very Positive
2016,Mixed
9999,Positive
9999,Very Positive
2016,Mixed
2016,Mixed
2016,Very Positive
2016,Positive
2016,Mixed
9999,Very Positive
9999,Very Positive
2016,Very Positive
2016,Mostly Positive
9999,Mixed
2016,Mixed
2016,Very Positive
9999,Mixed
2014,Very Positive
2016,Overwhelmingly Positive
2015,Positive
2016,Positive
2016,Mostly Positive
2016,Very Positive
2016,Positive
2016,Very Positive
2016,Positive
2016,Mostly Negative
2016,Mixed
2016,Positive
2016,Mostly Negative
2016,Mostly Positive
2016,Very Positive
2016,Mixed
2016,Positive
9999,Mixed
2016,Mostly Negative
2016,Very Positive
9999,Very Positive
2016,Mostly Negative
9999,Positive
9999,Positive
2016,Mixed
1997,Positive
2016,Mostly Negative
2016,Mixed
2016,Mixed
2016,Very Positive
2016,Positive
2016,Very Positive
2016,Mostly Positive
9999,Mixed
2016,Very Positive
9999,Mostly Positive
9999,Mostly Positive
2016,Mixed
2016,Mostly Negative
9999,Positive
2016,Mixed
2016,Very Positive
2016,Mixed
2016,Very Positive
2016,Very Positive
2016,Mostly Positive
2016,Mixed
2016,Positive
9999,Very Positive
2016,Mixed
9999,Mixed
2016,Positive
9999,Mixed
2016,Mostly Positive
2016,Mixed
9999,Positive
2016,Mixed
2016,Positive
2016,Very Positive
2016,Very Positive
2016,Very Positive
2016,Mixed
9999,Mostly Positive
9999,Positive
9999,Positive
2016,Positive
2016,Mixed
2016,Mostly Negative
9999,Mostly Positive
9999,Positive
2016,Mixed
2016,Mixed
9999,Positive
2016,Very Positive
2016,Mixed
2016,Positive
2016,Very Positive
2016,Mixed
2016,Positive
2016,Mostly Positive
2016,Positive
2016,Very Positive
9999,Mixed
9999,Positive
2017,Positive
9999,Mixed
2017,Mostly Positive
9999,Mostly Positive
2017,Mixed
2017,Mostly Positive
2017,Mixed
2016,Very Positive
2017,Very Positive
9999,Positive
2017,Mixed
2017,Positive
9999,Positive
2017,Very Positive
2017,Positive
2017,Very Positive
9999,Positive
2017,Mostly Negative
2017,Positive
9999,Positive
9999,Positive
2017,Positive
2017,Mostly Positive
2017,Very Positive
2017,Mixed
2011,Mixed
2017,Positive
9999,Positive
2017,Positive
2017,Mostly Positive
2017,Very Positive
2017,Positive
9999,Negative
2017,Very Positive
9999,Positive
2017,Mixed
9999,Positive
2017,Mostly Negative
2017,Mixed
2017,Very Positive
2017,Mixed
2017,Positive
2017,Mixed
2017,Mostly Negative
2017,Mostly Positive
1997,Positive
1999,Very Positive
2017,Mixed
2017,Positive
2017,Mostly Positive
2017,Mixed
2017,Very Positive
9999,Mostly Positive
2017,Positive
2017,Mixed
1997,Positive
2017,Mostly Positive
2016,Positive
2017,Positive
2017,Positive
2017,Positive
2017,Very Positive
2017,Positive
2017,Positive
2017,Mostly Positive
2017,Very Positive
2017,Mostly Negative
2017,Mostly Positive
9999,Mixed
2015,Mixed
9999,Positive
2017,Positive
9999,Mostly Positive
2017,Mostly Positive
2017,Positive
2017,Very Positive
2017,Positive
2001,Mostly Positive
2017,Mostly Positive
2017,Positive
2017,Positive
2017,Positive
2017,Positive
2017,Positive
2017,Mixed
2017,Positive
2017,Very Positive
2017,Positive
2017,Mixed
2017,Very Positive
2017,Positive
2017,Very Positive
2017,Very Positive
9999,Positive
2017,Mostly Positive
2017,Very Positive
2016,Very Positive
2017,Positive
2017,Very Positive
2017,Positive
2017,Mostly Positive
2017,Mostly Negative
2017,Positive
2017,Positive
9999,Very Positive
2017,Mixed
2017,Mostly Positive
2017,Positive
2017,Mostly Positive
2017,Positive
2017,Positive
2017,Very Positive
2017,Very Positive
2017,Very Positive
9999,Very Positive
9999,Very Positive
2017,Mixed
2017,Mixed
2017,Very Positive
2017,Positive
2017,Mixed
9999,Positive
2017,Mixed
2016,Mixed
2017,Very Positive
2017,Positive
2017,Positive
2017,Mixed
2017,Mixed
2017,Mixed
2017,Mostly Positive
2017,Positive
9999,Positive
9999,Very Positive
9999,Mostly Positive
2017,Mixed
2017,Positive
2017,Positive
9999,Mixed
2017,Very Positive
2017,Positive
2017,Mixed
2017,Mixed
2017,Very Positive
9999,Positive
2017,Positive
9999,Mixed
2017,Very Positive
2017,Positive
2017,Mostly Positive
2017,Positive
2017,Mixed
2017,Mixed
2017,Mixed
2017,Mostly Positive
2017,Very Positive
2017,Mixed
2017,Positive
2017,Very Positive
2017,Mostly Negative
2017,Mostly Positive
2017,Overwhelmingly Positive
2017,Positive
2017,Mostly Positive
2016,Positive
9999,Mostly Positive
9999,Positive
2017,Very Positive
2017,Positive
2017,Mostly Positive
2017,Mostly Positive
9999,Mixed
2017,Mostly Positive
2017,Mixed
2017,Mostly Positive
2017,Very Positive
2017,Mostly Positive
2017,Mostly Positive
9999,Positive
2017,Positive
2017,Positive
2017,Positive
2017,Very Positive
2017,Very Positive
1997,Positive
2017,Mostly Positive
2017,Very Positive
9999,Mixed
2017,Mostly Negative
2017,Mostly Positive
2017,Mixed
2017,Mostly Positive
2017,Mostly Positive
2017,Mixed
2017,Mixed
2017,Very Positive
2017,Very Positive
2017,Very Positive
2017,Overwhelmingly Positive
2017,Mostly Positive
2017,Positive
2017,Positive
2017,Mostly Positive
9999,Mixed
2017,Mixed
9999,Mostly Positive
2017,Very Positive
2017,Positive
2001,Very Positive
2017,Mixed
2017,Very Positive
9999,Mixed
2017,Very Positive
2017,Mostly Negative
2017,Mostly Positive
2017,Very Positive
2007,Mixed
9999,Positive
2017,Mixed
2017,Mixed
2017,Very Positive
2017,Very Positive
2017,Mixed
2017,Very Positive
2017,Positive
9999,Mixed
2017,Positive
2017,Positive
2017,Positive
2017,Very Positive
2017,Mixed
2017,Mostly Positive
2017,Very Positive
2017,Very Positive
9999,Mixed
2017,Positive
2017,Very Positive
2017,Mixed
2017,Positive
2017,Very Positive
9999,Positive
2017,Mostly Positive
2017,Mixed
9999,Mostly Positive
2017,Mixed
2017,Mostly Negative
2017,Mostly Negative
2017,Very Positive
2017,Mixed
2017,Mixed
2017,Positive
2017,Mixed
2017,Positive
9999,Positive
9999,Very Positive
2017,Mixed
2017,Mixed
2017,Very Positive
2017,Mostly Positive
2017,Mixed
2017,Very Positive
2017,Mostly Positive
2017,Positive
2017,Mixed
2017,Mixed
2017,Mixed
2017,Mostly Positive
2017,Mixed
2017,Very Positive
2017,Positive
2017,Mostly Positive
9999,Very Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Very Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Mostly Negative
2017,Mixed
2017,Mixed
2017,Positive
9999,Mostly Positive
2017,Very Positive
2017,Mixed
2017,Positive
2017,Positive
2017,Positive
2017,Very Positive
2017,Mostly Positive
9999,Mixed
2017,Mostly Positive
2017,Mixed
9999,Mixed
2014,Very Positive
2017,Positive
2017,Mixed
2017,Very Positive
2017,Mostly Positive
2017,Very Positive
2017,Mostly Negative
2017,Mostly Positive
2017,Mixed
9999,Positive
2017,Mixed
1996,Positive
2017,Positive
2017,Positive
2017,Mixed
2017,Mixed
2017,Mostly Positive
9999,Mixed
9999,Mostly Positive
2017,Positive
2017,Mixed
2017,Mixed
9999,Positive
2017,Mixed
2017,Positive
2017,Very Positive
9999,Positive
2017,Mostly Positive
2017,Positive
9999,Mostly Positive
2017,Very Positive
2017,Positive
2017,Mixed
2017,Positive
2017,Mixed
2017,Mixed
2017,Very Positive
9999,Positive
2017,Very Positive
2017,Mixed
2017,Very Positive
9999,Mostly Positive
2017,Mostly Positive
2017,Very Positive
2017,Positive
2017,Mixed
2017,Very Positive
2017,Positive
2017,Mixed
2017,Positive
2017,Positive
2017,Very Positive
2017,Mixed
2017,Mixed
2017,Mixed
2017,Mixed
2017,Positive
2017,Mixed
2017,Very Positive
2017,Very Positive
2017,Mostly Negative
9999,Very Positive
2017,Very Positive
2017,Positive
2017,Mostly Positive
2017,Mostly Negative
2017,Positive
9999,Positive
9999,Positive
2017,Mostly Positive
2017,Mixed
2017,Positive
2017,Very Positive
2017,Positive
2017,Very Positive
2017,Positive
2017,Positive
2017,Mixed
2017,Very Positive
9999,Positive
2017,Positive
2017,Mixed
2017,Mostly Positive
2017,Positive
2014,Mostly Positive
2016,Positive
2017,Positive
2017,Mostly Negative
2011,Positive
2017,Positive
2017,Mostly Positive
2017,Positive
2017,Positive
2017,Mostly Positive
2017,Very Positive
2017,Mixed
2017,Mixed
2017,Mostly Negative
2012,Mixed
2017,Mostly Positive
2017,Very Positive
2017,Mixed
2017,Mixed
2017,Mixed
2017,Very Positive
2017,Mixed
2017,Very Positive
2017,Mostly Positive
2017,Positive
2017,Mixed
2017,Positive
2017,Mixed
2017,Positive
9999,Mixed
2017,Mixed
9999,Positive
9999,Positive
2015,Very Positive
2017,Mostly Negative
2011,Mixed
2017,Positive
2017,Positive
2017,Mostly Positive
2017,Positive
2017,Mixed
2017,Positive
2017,Positive
2017,Very Positive
2017,Positive
2017,Mostly Positive
2017,Very Positive
2017,Very Positive
2017,Mixed
2017,Very Positive
2017,Very Positive
2017,Mixed
2017,Very Positive
2017,Mostly Positive
2017,Very Positive
2017,Mostly Negative
2017,Positive
2017,Mostly Positive
2017,Positive
2017,Mixed
2017,Positive
2017,Mostly Positive
2017,Mixed
2017,Very Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Positive
2017,Very Positive
2017,Very Positive
9999,Positive
2017,Positive
9999,Mixed
2017,Mixed
2017,Mostly Positive
